媳婦載婆婆就醫返家疑恍神猛撞橋墩車毀2  媳婦要被噹爆了
為何這波性騷哥布林們解決方法都是告人  817最愛告人
成立幫打蟑螂公司有搞頭嗎  應該更名拆遷公司，眾所周知有蟑螂的地
有沒有韓國的老人是不是都很跩的八卦  我之前去某一個遊樂園也碰到很跩的韓
柯文哲拜會前日相野田佳彥談核能福食  前首相算給面紙了
獨家興富發捐台中市府千噸媽祖雕像曝光  媽祖雕像會漏水嗎?
壽司郎值得一試嗎  兩盤一個便當錢
小鯰魚今天在中國只賣了12萬RMB  還是太多吧，在中國的黑人留學生去看ㄇ
有人喜歡芒果醬嗎  蠻好聽的阿發過歌詞文結果沒人知道
什麼是社會事  我看你是不懂喔
有沒有蜜蜂神社的卦  沒腦袋的東西跟你唬爛你也信嗎？
花半年才徵到員工旅宿業缺工逾萬人  不是缺工，是缺便宜的工
ㄘㄨㄚˋ上TFT唱玫瑰少年  下一篇五月天唱玫瑰少年
用外送的人這麼多喔  外送茶方便啊
抹布水牛肉麵明開記者會老闆坦然面對  通通檢舉民氣可用
家具行的價格跟網購價相當能買ㄇ  網路商店他開的
33年首見日經指數衝破32000點  反觀台灣才一萬六千點
姐妹幫柯文哲選市長遭性騷可吃姐妹丼嗎  受嗎？
自我認同是原住民可以加分嗎  你直接自我認同是白男帥哥30公分大屌
為什麼除了台北以外捷運都蓋很慢  台北也蓋很慢啊，你沒看那萬大線
最近幾年為何不流行暗網了因為被抄嗎  一般人都馬只是要找cp,結果被釣魚
抹布水牛肉麵事件  抹布牛肉麵台北人喜歡吃嘻嘻
這些硅谷城市現在的房租比舊金山貴  鮭鼓
停水要去哪裡洗澡  去那種可以洗澡的網咖阿
要怎麼知道女生想要繁衍下一代  你應該反過來問：怎知女生不想繁衍下一代
請問各位有性騷擾過別人嗎  先定義性騷擾
亞洲舞王羅志祥上THEFIRSTTAKE會唱甚麼  麥克風會懷孕
館長這張照片情境是不是很有意涵  你是對的
盧沙野甩鍋習近平稱自己言論與中共外交  這隻吉娃娃怎麼還沒滾回去
明道不行了為何當初不轉型  問明道本人
要怎麼知道女生想要繁衍下一代  教授作帳假發票，職業學生看報紙才知道。
南部水情穩了吧  沒水了準備用地下水清爽洗澡了
警界梁詠琪升任女所長今至彰化溪  就算是20年前的梁詠琪也不是長這樣吧?
國產車若不限速敢開多少  Tierrars開180過，現在進口不超過130
反生命園區自救會連署數比楊文科新豐  好奇有多少私立園區員工?
公衛師可以做什麼  沒什麼用，彥伯是醫師帶公衛師！
朱鴻森為什麼能打中職  為啥不能打以前中職強度又沒很高
有潔癖敢游泳嗎  [問卦]有潔癖敢拉屎尿尿嗎
選市長時不管性騷案助選幕僚涉性騷柯  柯離開綠的，自然就變柯黑了
騙了8年又要被騙幾年  說好8年8年之後又8年
妹子吃素家裡信一貫道的能追嗎  家裡信跟她信不信不一樣
貓貓下午睡飽了怎辦  氣死了貓都過得比人還爽叫他現在起來
遭爆摸男手臂寫電話記得來找我何志  用心寫電話還說無心那應該是花心
隱蔽廚房端出來的飯菜你還敢吃嗎  講的好像看的到麥當勞必勝客廚房一樣
正妹藥師的話是什麼意思  你是不是之前就發過正妹藥師文
為啥中國人很喜歡去日本讀書啊  去美國讀書更多很厲害家裡有錢的都想逃
台女列10點喊不想再去首爾慘被翻成  至少去韓國住宿吃東西便宜，機場巴士很
蟑螂一直飛來飛去超可怕  千萬不要大叫，蟑螂會往最暗的地方跑
人生最難的事是什麼  就是生而為人這件事
張雨生上TheFirstTake會選哪首  每首都很猛還真不知道怎麼挑
麥可喬丹有辦法宰制當今的NBA嗎  好像以前的活塞是吃素的一樣
波蘭的軟體業怎麼樣  波蘭的蕭邦
緬甸內戰安檢仍嚴恭喜發財成索賄密語  tor-1000功入緬甸，大約三個月就能殺光
一般人常見最頂的鍵盤是哪個  五從來沒用過超過700元的最貴是當初AT
性騷的人是不是都有一個共通點  同樣行為如果是金城武做的，就是偶像
直笛拿後面櫃子上的  偷偷舔班花的直笛真是噁男
大黑色加厚塑膠袋哪裡能買  買一個大鐵桶加一包水泥選我正解
台中的女森雞雞癢的時候會插口袋抓嗎  會啊如果不趕快止癢的話會彈出來
台灣地位最高的同性戀是誰  聽說唐是女裝癖，不是同性戀
基隆法拍163萬元透天厝引爆搶標今235萬  基隆那種爛房子還當寶，加油了
黃仁勳心在淌血急赴大陸有原因郭正亮  股價狂飆心在淌血？三小？？
支那油土伯開箱吃也跟台灣一樣好做  人家開箱吃的，就是直接上小黃車，
五個月來第一次請假可以加薪幾  假休完可以滾了
陳奕迅在thefirsttake會唱哪首  不會唱索尼音樂的歌手藝人才會唱
西門町詐騙阿伯  二樓付錢後被阿伯拖到旅館房間狂肛
三觀不也是支語嗎  說「三觀」不是支語的，麻煩解釋什麼是「
北韓陷30年最慘飢荒金正恩卻大開巧克  台灣不缺糧是靠進口,不是自己種的夠吃
什麼時候恐慌症發作最麻煩  我開會的時候發作
公寓真的有這麼差嗎  公寓式有電梯嗎
長輩問玩遊戲能學到什麼要怎麼回他  你應該反問他玩股票能學到什麼
台大放榜個人申請繁星雙榜首薇閣9人錄取醫學系  個人申請、繁星雙榜首?兩個都申請?
加熱菸續卡關健康風險評估連申請表格都  可憐，歐洲隨處都買得到加熱煙電子
陸防長李尚福重申台灣是中國的台灣  中國是台灣的中國
胡耀邦是誰  趙紫陽胡耀邦
蔡依林和星街すいせい誰唱得比較好  誰比較好不知道但蔡依林很努力
小五跟小六怎麼差這麼多  看班級風氣你代多了就會看到乖的跟壞的差
228男生問我0號還是1號該怎麼回答  樓下是幾號?
以前直笛大家都買多少錢啊  忘了不過我的直笛都扔了
北海道好像挖到氪星石了  ？？？
有沒有路X莎K書中心化的八卦  安靜地看隔壁妹妹的腿不就好了
最令你吃驚的粽子料  湖州還蠻好吃的我還是吃南部粽好了
姐妹幫柯文哲選市長遭性騷可吃姐妹丼嗎  有具名啊柯文哲只要註明柯文哲就
八里男有證的沒事我有事  原來是以身諷刺當局啊自己人自己人
311和64天安門哪個比較恐怖  ==下一篇228和第一次世界大戰哪個恐怖
台灣女生一生碰到色狼性騷機率是不是很高  風度帥就有醜就是性騷
玩嫩模的價位大約多少  樓下含過多少人的懶叫
失戀後要多久才會想重新交女友  還好二樓失戀一秒後就改交男友ㄌ
摸陰狼天母知名百貨對5歲女童下手士  sogo也沒有調查權要報警知道嗎?
台灣人484只適合去日本旅遊  只適合國內旅遊吧
烏克蘭宣布擊殺俄軍破21萬人光是坦克就打爆3800多輛  啊不是很正常俄國傳統就是堆屍啊
被控性騷擾總統府資政顏志發打破沉默聲  總統府性愛趴開催中央資政黨部主任級進
五樓梗是不是八卦甲互約的暗號阿  我不是，樓下是
追女孩子和性騷擾怎麼區分  追女孩子本身就是性騷擾
台灣的體育圈很封閉嗎的八卦  台灣人去拚參與體育的畢竟是少數及弱勢
包拯當年為何敢不畏權勢斬人  這片7俠5義齁？包拯沒斬也沒權斬他
皮膚科醫生的24度冷氣房理論  24度就人類最舒適的溫度阿
一般人常見最頂的鍵盤是哪個  最頂是買一間倉庫堆滿鍵盤
讓性騷擾嫌疑人當性平委員是什麼心態  他說的不是你說的那個他而是他
專輔學校兩樣情高苑科大獲28億解列  高苑不就名人開的
甲甲見面2次就結婚是真甲甲嗎  五樓一次就登記了
摸陰狼天母知名百貨對5歲女童下手士  女童榨甘蔗
資政性騷擾總統府沒調查權藍委世界  這個發生在總統府裡面當然可以察啊
Jolin是不是掉漆了  酸民會稱讚蔡依林就不是酸民了，而且
明天企鵝妹會在海寮東橋龍海號啟程嗎  如果要合照應該會選在河樂廣場因為晚
越南分區停電鴻海三星工廠所在地受影  當中國拉閘限電越南分區停電X總:惦惦
被指收紅色捐款綠營性騷黑數1100高  議員時收紅色捐款然後你提名她選立委
台女列10點喊不想再去首爾慘被翻成  韓團也在穩定的文化輸出不過改變不
上班穿衣服激凸會被抓咪兔嗎  會建議穿厚毛衣
資政性騷擾總統府沒調查權藍委世界  沒騷擾到大小姐都沒她的事唷
認真文台男在東亞惡名遠播怎麼辦  明明台灣性犯罪比例在亞洲只高於日本==
梧棲大排死魚臭味民眾怨撈不完  XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
這種天在廁所拉屎都會流汗有解嗎  你可以在廁所以外的地方拉或是在廁所裝冷
姐妹幫柯文哲選市長遭性騷可吃姐妹丼嗎  2014的柯文哲市長說不想管性騷擾案?
勃起要怎麼尿  五樓怎麼約？
滿洲國當年選長春當新京是不是眼光獨到  位置中心魁儡政權就是在離舊勢力遠處重練
為啥寶寶性別還要舉辦一個派對  因為想辦派對需要藉口
摸陰狼天母知名百貨對5歲女童下手士  變態不分地區5歲女童跟外國成人都受
十幾年前延長線大概多少  看幾米幾孔幾切耐多少功率,價錢差很多
認真的說台女在亞洲只能排第四  次日本再來才是南韓台灣只能排老四(東
要怎麼從背後猜妹子奶子很大  嗯看胸罩後面那條帶子
台女為何喜歡找有錢有勢的男性  台男也是巴著有錢有勢的人不然世界怎麼
論文在國圖被調閱或下載當事人知道嗎  通常會去某大學徵人下載
港警拘留紀念六四港人聯合國表震驚促放人  就已經是中國的形狀啦
有兩奈米該驕傲嗎  沒關係給我肛證明我不只兩奈米就好QQ
資政是什麼職位工作內容是00  你說這是不是保命符呢
說真的日本對台這土地還有肖想嗎  你對蟑螂窩會有肖想嗎
內褲哪一牌最頂  阿公內褲
確診了  早就領40萬了誰叫你現在才確診
繼梅西後大巴黎又一主力出走球團宣布  拉莫斯早就不是主力，大巴黎後防主力
不屑外銷大陸佳德鳳梨酥億元現金霸  這家本來就是排隊名店
戶頭有40萬要投資什麼比較方便  你要申請哪家證券戶也要先作點功課
5億高中生案真相怎樣問他本人不就好了  他本人搞不好連自己怎麼下去都不知道
認真問未禮讓行人的開罰標準是  我就遇過突然倒退的行人
馬來西亞二十多歲買得起車三十買房  馬來西亞國產車跟油便宜到誇張，先去查一下
什麼樣的生意最容易被拿來洗錢  政府單位的生意
中市議員羅廷瑋挨告性騷不起訴換他控告  這女的腦袋是不是不太好根本欠人告啊
穿綁帶泳衣的游泳教練是不是最頂的  看身高150穿Speedo帶泳帽蛙鏡的圖？
小孩真的會被父母罵到壓力太大嘔吐嗎  大人都會壓力大嘔吐了
要怎麼從背後猜妹子奶子很大  從背後抓看看
被男生扣掌心是代表什麼  你應該要問他「你不在我身上寫什麼嗎」
